era_bins,era_bins,team,index,win,draw,loss,matches_total
1872-1881,1872-1881,Scotland,1.0,4.5,1.0,2.5,8.0
1882-1891,1882-1891,Wales,7.0,9.0,1.5,4.5,15.0
1892-1901,1892-1901,Scotland,10.0,7.5,3.0,4.5,15.0
1902-1911,1902-1911,England,18.0,6.0,4.5,8.0,18.5
1912-1921,1912-1921,Argentina,35.0,19.0,5.5,7.5,32.0
1922-1931,1922-1931,Sweden,130.5,25.0,6.5,13.0,44.5
1932-1941,1932-1941,Germany,167.5,25.5,7.5,16.5,49.5
1942-1951,1942-1951,Sweden,303.0,18.0,4.0,9.5,31.5
1952-1961,1952-1961,Brazil,330.0,26.0,8.5,18.5,53.0
1962-1971,1962-1971,Malaysia,540.0,34.0,13.5,21.0,68.5
1972-1981,1972-1981,Malaysia,714.5,47.5,28.5,24.5,100.5
1982-1991,1982-1991,Malawi,905.5,28.5,23.0,14.5,66.0
1992-2001,1992-2001,Mexico,1132.0,50.5,27.5,27.0,105.0
2002-2011,2002-2011,Mexico,1381.5,52.0,17.5,22.0,91.5
2012-2021,2012-2021,Mexico,1656.5,40.0,16.5,25.5,82.0
2022-2031,2022-2031,Mexico,1922.0,7.5,6.0,6.5,20.0
